iter	RMSE
0	14.08219267
1	13.22546829
2	12.39680622
3	11.66242332
4	11.07633253
5	10.54338329
6	10.08012961
7	9.678469672
8	9.309185442
9	8.982328794
10	8.589492292
11	8.268490699
12	7.995195206
13	7.719809549
14	7.515652203
15	7.309332635
16	7.11473844
17	6.973046378
18	6.800769713
19	6.663413517
20	6.547078454
21	6.425376257
22	6.337498289
23	6.25162545
24	6.189910902
25	6.133048499
26	6.073729418
27	6.000701424
28	5.952982999
29	5.90561216
30	5.870461668
31	5.811230147
32	5.775581173
33	5.748085139
34	5.721607995
35	5.689382093
36	5.659184602
37	5.637577046
38	5.617274353
39	5.601186134
40	5.580203705
41	5.560441759
42	5.534021984
43	5.510269788
44	5.493313371
45	5.472333408
46	5.454714357
47	5.436871391
48	5.422623045
49	5.404991112
50	5.39548895
51	5.381690613
52	5.370588666
53	5.359575307
54	5.348450475
55	5.333763728
56	5.323617737
57	5.315502929
58	5.310845892
59	5.303290159
60	5.298172402
61	5.290753805
62	5.283855634
63	5.277061035
64	5.265722844
65	5.260802084
66	5.249280819
67	5.243685324
68	5.230231018
69	5.223123546
70	5.214854672
71	5.209143513
72	5.200670087
73	5.196642074
74	5.184791184
75	5.181326479
76	5.176769999
77	5.172979776
78	5.166650784
79	5.161162792
80	5.153965261
81	5.14979462
82	5.14299354
83	5.13281026
84	5.127787031
85	5.123561787
86	5.118375615
87	5.106458985
88	5.102202996
89	5.097393097
90	5.092353511
91	5.086950113
92	5.080291255
93	5.073976801
94	5.068216563
95	5.065352547
96	5.059055517
97	5.054399745
98	5.044056164
99	5.043017589
