iter	Passed	Remaining
0	142	142124
1	143	71451
2	143	47792
3	144	35947
4	145	28870
5	145	24126
6	146	20737
7	146	18207
8	147	16235
9	148	14662
10	148	13375
11	149	12304
12	150	11404
13	151	10638
14	151	9965
15	152	9371
16	153	8848
17	153	8378
18	154	7956
19	154	7576
20	155	7233
21	155	6921
22	156	6636
23	156	6375
24	157	6141
25	158	5920
26	158	5716
27	159	5527
28	159	5354
29	160	5190
30	161	5035
31	161	4889
32	162	4752
33	162	4623
34	163	4504
35	163	4390
36	164	4282
37	165	4182
38	165	4085
39	166	3992
40	166	3905
41	167	3821
42	168	3742
43	168	3666
44	169	3593
45	169	3523
46	170	3457
47	171	3394
48	171	3336
49	172	3279
50	173	3225
51	173	3170
52	174	3118
53	175	3069
54	175	3020
55	176	2972
56	176	2927
57	177	2882
58	178	2838
59	178	2798
60	179	2757
61	179	2718
62	180	2680
63	180	2644
64	181	2609
65	181	2575
66	182	2542
67	183	2509
68	183	2478
69	184	2449
70	184	2420
71	185	2391
72	186	2366
73	187	2343
74	187	2318
75	188	2293
76	189	2269
77	189	2244
78	190	2220
79	191	2196
80	191	2173
81	192	2151
82	192	2126
83	192	2104
84	193	2083
85	194	2063
86	194	2043
87	195	2024
88	195	2005
89	196	1986
90	196	1967
91	197	1949
92	198	1931
93	198	1914
94	199	1897
95	199	1881
96	200	1867
97	201	1851
98	201	1836
99	202	1821
100	203	1807
101	203	1794
102	204	1779
103	205	1766
104	205	1753
105	206	1739
106	206	1726
107	207	1712
108	207	1699
109	208	1688
110	209	1677
111	210	1665
112	210	1652
113	211	1640
114	211	1628
115	212	1616
116	212	1604
117	213	1593
118	213	1582
119	214	1572
120	215	1561
121	215	1550
122	216	1542
123	217	1533
124	218	1526
125	218	1517
126	219	1507
127	219	1497
128	220	1488
129	221	1479
130	221	1470
131	222	1461
132	222	1453
133	223	1444
134	224	1436
135	224	1428
136	225	1419
137	225	1411
138	226	1403
139	227	1395
140	227	1387
141	228	1378
142	228	1370
143	229	1362
144	229	1355
145	230	1348
146	231	1344
147	232	1337
148	233	1331
149	233	1324
150	234	1317
151	234	1310
152	235	1304
153	236	1297
154	236	1291
155	237	1284
156	237	1277
157	238	1271
158	239	1266
159	240	1261
160	240	1254
161	241	1248
162	241	1241
163	242	1235
164	243	1229
165	243	1224
166	244	1217
167	244	1211
168	245	1205
169	246	1201
170	246	1196
171	247	1191
172	248	1186
173	249	1182
174	249	1178
175	250	1173
176	251	1168
177	251	1163
178	252	1158
179	253	1153
180	254	1149
181	254	1144
182	255	1139
183	255	1134
184	256	1129
185	256	1124
186	257	1119
187	258	1114
188	258	1109
189	259	1104
190	259	1100
191	260	1095
192	261	1092
193	261	1087
194	262	1084
195	263	1080
196	264	1076
197	265	1074
198	265	1070
199	266	1065
200	267	1061
201	267	1057
202	268	1053
203	268	1049
204	269	1046
205	270	1042
206	271	1038
207	271	1034
208	272	1030
209	272	1026
210	273	1022
211	274	1018
212	274	1014
213	275	1011
214	276	1007
215	276	1004
216	277	1000
217	277	996
218	278	994
219	279	992
220	280	989
221	281	986
222	282	983
223	282	979
224	283	976
225	284	973
226	284	970
227	285	966
228	286	963
229	286	959
230	287	956
231	288	953
232	288	950
233	289	946
234	289	942
235	290	939
236	290	936
237	291	933
238	292	930
239	292	927
240	293	924
241	294	922
242	295	919
243	295	916
244	296	913
245	296	910
246	297	907
247	298	904
248	299	902
249	299	899
250	300	896
251	301	893
252	301	890
253	302	887
254	302	884
255	303	881
256	303	878
257	304	875
258	304	872
259	305	870
260	306	867
261	307	864
262	307	862
263	308	859
264	309	857
265	309	854
266	310	852
267	311	849
268	311	847
269	312	844
270	313	843
271	314	841
272	315	839
273	316	837
274	316	834
275	317	832
276	318	830
277	318	827
278	319	825
279	320	823
280	320	820
281	321	818
282	322	816
283	322	813
284	323	811
285	324	809
286	324	807
287	325	805
288	326	803
289	327	800
290	327	798
291	328	795
292	329	793
293	329	791
294	330	789
295	330	787
296	331	784
297	332	782
298	332	779
299	333	777
300	333	775
301	334	772
302	335	771
303	335	768
304	336	767
305	337	764
306	338	763
307	338	761
308	339	759
309	340	757
310	340	755
311	341	753
312	342	751
313	343	749
314	343	747
315	344	745
316	345	743
317	345	741
318	346	739
319	346	736
320	347	734
321	347	732
322	348	730
323	348	728
324	350	727
325	350	725
326	351	723
327	352	721
328	352	719
329	353	717
330	354	715
331	354	714
332	355	711
333	356	709
334	356	707
335	357	706
336	358	704
337	359	703
338	359	701
339	360	699
340	360	697
341	361	695
342	361	693
343	362	691
344	363	689
345	363	687
346	364	685
347	365	684
348	366	683
349	367	682
350	368	680
351	368	678
352	369	676
353	369	675
354	370	673
355	371	671
356	371	669
357	372	668
358	373	666
359	373	664
360	374	662
361	375	661
362	375	659
363	376	657
364	376	655
365	377	653
366	377	651
367	378	650
368	379	649
369	380	647
370	381	646
371	381	644
372	382	642
373	383	642
374	384	640
375	385	639
376	385	637
377	386	635
378	387	634
379	387	632
380	388	631
381	389	629
382	389	627
383	390	626
384	390	624
385	391	622
386	392	621
387	392	619
388	393	617
389	394	616
390	394	614
391	395	613
392	396	611
393	396	610
394	397	608
395	397	606
396	398	605
397	398	603
398	399	601
399	400	600
400	400	598
401	401	596
402	401	595
403	402	593
404	402	592
405	403	590
406	404	588
407	404	587
408	405	585
409	405	584
410	406	582
411	407	581
412	407	579
413	408	578
414	409	576
415	409	575
416	410	574
417	411	572
418	411	571
419	412	569
420	413	568
421	413	566
422	414	565
423	414	563
424	415	562
425	416	561
426	417	559
427	417	558
428	418	556
429	418	555
430	419	553
431	420	552
432	420	550
433	421	549
434	421	547
435	422	546
436	422	544
437	423	543
438	424	542
439	424	540
440	425	539
441	426	538
442	426	536
443	427	535
444	428	534
445	428	532
446	429	531
447	430	529
448	430	528
449	431	527
450	431	525
451	432	524
452	432	522
453	433	521
454	434	520
455	435	518
456	435	517
457	436	516
458	437	515
459	437	513
460	438	512
461	439	511
462	439	510
463	440	508
464	441	507
465	442	506
466	442	505
467	443	504
468	443	502
469	444	501
470	445	500
471	445	498
472	446	497
473	447	496
474	447	495
475	448	493
476	449	492
477	449	490
478	450	489
479	450	488
480	451	487
481	451	485
482	452	484
483	453	483
484	453	482
485	454	480
486	455	479
487	456	478
488	456	477
489	457	476
490	458	474
491	458	473
492	459	472
493	460	471
494	460	469
495	461	468
496	461	467
497	462	465
498	462	464
499	463	463
500	463	462
501	464	460
502	465	459
503	465	458
504	466	456
505	466	455
506	467	454
507	468	453
508	469	452
509	469	451
510	470	450
511	471	449
512	472	448
513	472	446
514	473	445
515	473	444
516	474	443
517	475	442
518	475	441
519	476	439
520	477	438
521	477	437
522	478	436
523	478	435
524	479	433
525	480	432
526	480	431
527	481	430
528	481	428
529	482	427
530	483	427
531	484	425
532	484	424
533	485	423
534	486	422
535	487	421
536	487	420
537	488	419
538	488	418
539	489	417
540	490	416
541	491	415
542	491	413
543	492	412
544	492	411
545	493	410
546	494	409
547	494	408
548	495	406
549	495	405
550	496	404
551	497	403
552	497	402
553	498	401
554	499	400
555	499	399
556	500	398
557	501	397
558	501	396
559	502	394
560	503	393
561	503	392
562	504	391
563	505	390
564	505	389
565	506	388
566	506	386
567	507	385
568	507	384
569	508	383
570	509	382
571	509	381
572	510	380
573	510	379
574	511	377
575	511	376
576	512	375
577	513	374
578	514	373
579	514	372
580	515	371
581	516	370
582	517	369
583	517	368
584	518	367
585	518	366
586	519	365
587	520	364
588	520	363
589	521	362
590	522	361
591	522	360
592	523	359
593	523	357
594	524	356
595	524	355
596	525	354
597	525	353
598	526	352
599	527	351
600	527	350
601	528	349
602	529	348
603	529	347
604	530	346
605	530	345
606	531	344
607	532	343
608	532	342
609	533	341
610	534	340
611	535	339
612	535	338
613	536	337
614	536	336
615	537	334
616	537	333
617	538	332
618	539	331
619	539	330
620	540	329
621	540	328
622	541	327
623	542	326
624	542	325
625	543	324
626	544	323
627	545	322
628	546	322
629	546	321
630	547	320
631	548	319
632	548	318
633	549	317
634	549	316
635	550	315
636	551	314
637	551	313
638	552	311
639	552	310
640	553	309
641	553	308
642	554	307
643	555	306
644	555	305
645	556	304
646	556	303
647	557	302
648	558	301
649	558	300
650	559	300
651	560	299
652	561	298
653	561	297
654	562	296
655	562	295
656	563	294
657	564	293
658	564	292
659	565	291
660	566	290
661	566	289
662	567	288
663	567	287
664	568	286
